Species
Lophura swinhoii
Polyplectron napoleonis
Rheinardia ocellata
Syrmaticus ellioti
Syrmaticus humiae
Syrmaticus mikado
Tetraogallus caspius
Tetraogallus tibetanus
Tragopan blythii
Tragopan caboti
Tragopan melanocephalus
Antigone canadensis nesiotes
Antigone canadensis pulla
Antigone vipio
Balearica pavonina
Grus americana
Grus japonensis
Grus monacha
Grus nigricollis
Leucogeranus leucogeranus
Ardeotis nigriceps
Chlamydotis macqueenii
Chlamydotis undulata
Houbaropsis bengalensis
Hypotaenidia sylvestris
Rhynochetos jubatus
Atrichornis clamosus
Cotinga maculata
Xipholena atropurpurea
Carduelis cucullata
Pseudochelidon sirintarae
Xanthopsar flavus
Picathartes gymnocephalus
Picathartes oreas
Pitta gurneyi
Pitta kochi
Pycnonotus zeylanicus
Leucopsar rothschildi
Zosterops albogularis
Fregata andrewsi
Pelecanus crispus
Papasula abbotti
Dryocopus javensis richardsi
Podilymbus gigas
Cacatua goffiniana
Cacatua haematuropygia
Cacatua moluccensis
Cacatua sulphurea
Probosciger aterrimus
Eos histrio
Vini ultramarina
Amazona arausiaca
Amazona auropalliata
Amazona barbadensis
Amazona brasiliensis
Amazona finschi
Amazona guildingii
Amazona imperialis
Amazona leucocephala
Amazona oratrix
Amazona pretrei
Amazona rhodocorytha
Amazona tucumana
Amazona versicolor
Amazona vinacea
Amazona viridigenalis
Amazona vittata
Anodorhynchus
Ara ambiguus
Ara glaucogularis
Ara macao
Ara militaris
Ara rubrogenys
Cyanopsitta spixii
Cyanoramphus cookii
Cyanoramphus forbesi
Cyanoramphus novaezelandiae
Cyanoramphus saisseti
Cyclopsitta diophthalma coxeni
Eunymphicus cornutus
Guarouba guarouba
Neophema chrysogaster
Ognorhynchus icterotis
Pezoporus flaviventris
Pezoporus occidentalis
Pezoporus wallicus
Pionopsitta pileata
Primolius couloni
Primolius maracana
Psephotellus chrysopterygius
Psephotellus dissimilis
Psephotellus pulcherrimus
Psittacula echo
Psittacus erithacus
Pyrrhura cruentata
Rhynchopsitta
Strigops habroptila
Pterocnemia pennata
Spheniscus humboldti
Heteroglaux blewitti
Mimizuku gurneyi
Ninox natalis
Tyto soumagnei
Struthio camelus
Tinamus solitarius
Pharomachrus mocinno
Alligator sinensis
Caiman crocodilus apaporiensis
Caiman latirostris
Melanosuchus niger
Crocodylus acutus
Crocodylus cataphractus
Crocodylus intermedius
Crocodylus mindorensis
Crocodylus moreletii
Crocodylus niloticus
Crocodylus palustris
Crocodylus porosus
Crocodylus rhombifer
Crocodylus siamensis
Osteolaemus tetraspis
Tomistoma schlegelii
Gavialis gangeticus
Sphenodon
Ceratophora erdeleni
Ceratophora karu
Ceratophora tennentii
Cophotis ceylanica
Cophotis dumbara
Abronia anzuetoi
Abronia campbelli
Abronia fimbriata
Abronia frosti
Abronia meledona
Brookesia perarmata
Cnemaspis psychedelica
Gonatodes daudini
Lygodactylus williamsi
Heloderma horridum charlesbogerti
Brachylophus
Cyclura
Sauromalus varius
